Year, Pseudodiploria strigosa, Undaria agaricites complex, Stephanocoenia intersepta, Solenastrea bournoni, Siderastrea siderea, Siderastrea radians, Scolymia sp_, Scleractinia, Porites astreoides, Pseudodiploria clivosa, Porites porites complex, Isophyllia rigida, Orbicella annularis complex, Oculina robusta, Oculina diffusa, Mycetophyllia lamarckiana complex, Mycetophyllia ferox, Mycetophyllia aliciae, Montastraea cavernosa, Mussa angulosa, Meandrina meandrites, Millepora complanata, Millepora alcicornis, Madracis decactis complex, Manicina areolata, Madracis aurentenra, Isophyllia sinuosa, Acropora cervicornis, Helioseris cucullata, Acropora palmata, Acropora prolifera, Agaricia fragilis, Agaricia lamarcki, Cladocora arbuscula, Dendrogyra cylindrus, Colpophyllia natans, Dichocoenia stokesii, Diploria labyrinthiformis, Favia fragum, Eusmilia fastigiata
2006,0.000838421,0.000241478,0.000628114,0.000224877,0.005984417,8.95835E-05,0,0.000531131,0.003956526,0.000669286,0.000389253,2.56709E-05,0.019940476,0,0.000390275,2.88802E-05,0.000019512,0.000171283,0.01070661,1.66796E-05,0.000403966,5.12352E-05,0.00218813,0,0,1.90665E-05,0,0.005846015,0,0.000539073,0.000754677,0,0,0,0.000183284,0.002528033,0.000307249,0.000181836,1.71116E-05,1.88549E-05
2007,0.000382065,0.000290708,0.000340352,0.000122604,0.006102411,3.44435E-05,0,0.000246009,0.003084072,0.001124755,0.000417653,0,0.020075708,0,0.000393778,0.000108358,7.82567E-05,7.37983E-05,0.010513047,0,0.000463301,0.00026118,0.002710335,1.82496E-05,0,6.1736E-06,0,0.006795989,0,0.000752822,0.001420435,0,0,0,0.000220313,0.003325344,0.000282591,0.000198135,1.20836E-05,3.12326E-05
2008,0.00053335,0.000470155,0.000637897,0.000141315,0.006323463,0.000040782,5.76249E-06,0.000239116,0.003477827,0.000993537,0.000489886,0,0.019944556,0,0.00021697,9.86216E-05,1.23787E-05,0.00014566,0.009675956,4.31752E-05,0.000393915,0.000251497,0.003693125,5.39584E-06,0,2.52301E-05,0,0.007307199,0,0.000687229,0.001237557,0,6.50838E-06,0,0.000312365,0.002233101,0.000280917,0.000277342,4.83559E-06,7.64988E-05
2009,0.000742048,0.00033138,0.000951278,9.07934E-05,0.008356548,8.34452E-05,4.42885E-06,5.88168E-05,0.003996575,0.000946965,0.001033267,0,0.025775499,0,0.000130971,0.000116757,0.000061337,0.000311803,0.013231194,5.39466E-05,0.000563992,0.00017673,0.004444734,9.53652E-06,0,2.47666E-05,0.000024256,0.005373768,1.84723E-05,0.000805674,0.001141404,0,8.85771E-06,0,0.000128811,0.006315801,0.00029802,0.000245222,0,0.000073526
2010,0.000762724,0.000540861,0.001133416,0.000246234,0.008177973,4.38603E-05,0,0.000110043,0.003269137,0.000766444,0.001054754,0,0.014447599,4.72643E-06,0.000124911,0.000113404,0.000160666,0.000101623,0.011291334,0,0.000813108,0.00024995,0.00501494,4.52775E-05,0,4.05769E-05,0,0.004183002,0,0.0008441,0.001034107,0,0.0000106,1.84336E-05,0.000224806,0.005107012,0.000266097,0.000229866,0,9.42684E-05
2011,0.000515438,0.000952077,0.001845875,0.000184929,0.009574777,0.000030168,5.22158E-06,2.52529E-05,0.004024502,0.000863816,0.001101774,0,0.014632014,8.36988E-06,0.00016468,0.00010724,0.000114997,0.000112992,0.012391505,1.30402E-05,0.000575536,0.000276376,0.006275834,0.000067947,1.26841E-05,2.34558E-05,1.26248E-05,0.00251278,4.26103E-06,0.000902366,0.001273674,0,8.0243E-06,3.08102E-05,0.000206072,0.004911408,0.000227462,0.000254594,0,0.000105259
2012,0.001167825,0.000808181,0.002001143,9.09356E-05,0.009741472,6.62666E-05,4.02431E-06,0.000108951,0.00498263,0.000508192,0.0013077,4.52221E-06,0.01493736,2.16688E-05,0.00016136,0.000104114,5.60158E-05,0.000127291,0.012446561,0.000060578,0.000520199,0.00017147,0.006484807,7.03251E-05,8.61509E-06,4.47663E-05,0,0.002479013,8.52206E-06,0.000988963,0.001196133,4.22041E-06,2.96995E-05,2.55026E-05,0.000154721,0.005154791,0.000378476,0.000294432,4.61118E-06,6.65096E-05
2013,0.000764538,0.001063192,0.001874315,0.000184968,0.00988546,3.15175E-05,1.21106E-05,7.53854E-05,0.004649999,0.000627374,0.000976179,0,0.014844112,3.06111E-05,9.76703E-05,0.000138004,2.11725E-05,0.000115747,0.01132892,2.02818E-05,0.000729007,0.000218762,0.005641735,4.17729E-05,4.02253E-06,0.000040693,0,0.001728736,1.16194E-05,0.001131876,0.001067032,0,3.12931E-05,0,0.000180554,0.004033838,0.000301115,0.000191842,3.60393E-06,9.40499E-05
2014,0.000730449,0.00105578,0.002310229,0.000294406,0.011287232,2.96033E-05,0,4.20661E-05,0.004849836,0.000873954,0.001236543,0,0.014029777,0.000011563,5.78173E-05,8.36008E-05,0.000119688,7.78709E-05,0.011498238,2.13489E-05,0.000772951,0.000244613,0.006119525,0.000064092,3.93264E-06,0.000111006,1.24886E-05,0.002359111,0,0.001331551,0.001261767,1.84644E-05,4.73145E-05,2.30991E-05,0.000116019,0.006327681,0.00042001,0.000278592,0,5.87376E-05
2015,0.000649882,0.000535793,0.00236085,0.000259537,0.011525741,2.12104E-05,4.27524E-06,3.38217E-05,0.004726002,0.00081686,0.001011744,0,0.012547982,0,7.23502E-05,5.91683E-05,8.39478E-05,0.000123599,0.011056848,2.60091E-05,0.000657713,8.54006E-05,0.00475698,4.70215E-05,3.43569E-05,0.000057283,0,0.001728133,0,0.000948652,0.001202468,0,2.82677E-05,3.59579E-06,5.40729E-05,0.005493372,0.000375469,0.000324665,3.2809E-06,9.09744E-05
