YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
2014,DRY TORT,MYC BONA,0.054013591771862844,4.3835976549492806e-4,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,MYC INTE,0.01642948050445447,2.698774421270184e-4,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,MYC MICR,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,MYC PHEN,0.012998958694897604,2.406163303286464e-5,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,MYC TIGR,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,MYC VENE,0.0011801457827143355,1.3891246832742219e-6,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,SRR SPE.,0.0,0.0,47,94,5762.0,326062.50030062255,0
2016,DRY TORT,CEP CRUE,0.5076028840995866,0.01597923376066826,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,CEP FULV,0.034812159378282255,8.781891180963118e-4,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,EPI ITAJ,0.0,0.0,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,EPI MORI,0.8635685503320006,0.0940672274209153,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,EPI STRI,0.0010728598024675776,1.149382980667038e-6,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,MYC BONA,0.0042914392098703106,5.791818661020791e-6,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,MYC INTE,0.0042914392098703106,1.767166756770299e-5,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,MYC PHEN,0.0021457196049351553,2.0778701167377886e-6,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,MYC TIGR,0.0,0.0,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,MYC VENE,0.0,0.0,22,43,5591.0,316385.8797606353,0
1999,DRY TORT,CEP CRUE,0.37963056618115837,0.003710959324713912,68,128,1942.0,439578.8792667886,1
1999,DRY TORT,CEP FULV,0.009002133294100339,3.0726459866952613e-5,68,128,1942.0,439578.8792667886,1
1999,DRY TORT,DER INER,0.0,0.0,68,128,1942.0,439578.8792667886,1
1999,DRY TORT,EPI FLAV,0.0018988156539649845,1.5779749594240887e-6,68,128,1942.0,439578.8792667886,1
